"","host_response_rate","host_acceptance_rate","host_is_superhost","host_listings_count","host_identity_verified","neighbourhood_group_cleansed","room_type","accommodates","bathrooms","bedrooms","beds","square_feet","price","cleaning_fee","minimum_nights","number_of_reviews_ltm","review_scores_rating","review_scores_cleanliness","review_scores_location","review_scores_value","Post_20_reviews"
"135",100,93,"t",7,"t","Brooklyn","Private room",4,1,1,2,657.770212765957,149,50,1,4,97,10,9,10,"0"
"136",100,80,"f",21,"t","Manhattan","Entire home/apt",2,1,0,1,657.770212765957,80,50,60,0,73,7,9,8,"0"
"137",100,100,"t",2,"t","Queens","Entire home/apt",8,1,2,3,657.770212765957,275,119,2,35,98,10,10,10,"0"
"138",100,100,"f",1,"t","Brooklyn","Private room",2,1,1,1,657.770212765957,65,75.4034656056957,1,1,86,9,8,8,"0"
"139",100,100,"f",1,"t","Brooklyn","Entire home/apt",4,1,2,2,657.770212765957,149,0,1,21,79,7,8,7,"0"
"140",100,97,"f",1,"f","Brooklyn","Entire home/apt",4,1,2,3,657.770212765957,120,120,4,23,96,10,9,10,"0"
"141",89.3037155669443,100,"f",1,"t","Manhattan","Entire home/apt",5,1.5,2,2,657.770212765957,499,195,5,5,97,9,10,9,"0"
"142",100,96,"t",4,"t","Brooklyn","Entire home/apt",2,1.5,1,2,657.770212765957,129,99,7,28,99,10,9,10,"1"
"143",90,98,"f",2,"t","Queens","Entire home/apt",2,1,1,1,657.770212765957,100,75.4034656056957,1,39,93,9,9,9,"0"
"144",100,89,"f",2,"t","Brooklyn","Entire home/apt",4,1,2,3,657.770212765957,99,99,3,24,94,9,9,9,"1"
"145",89.3037155669443,0,"f",1,"t","Brooklyn","Private room",1,1,1,1,657.770212765957,55,100,5,1,95,10,10,9,"0"
"146",36,94,"t",6,"f","Brooklyn","Private room",1,1.5,1,1,657.770212765957,55,100,2,6,98,10,9,10,"1"
"147",100,91,"t",4,"t","Brooklyn","Entire home/apt",7,2,4,4,657.770212765957,289,200,2,19,93,9,10,9,"1"
"148",89.3037155669443,0,"f",1,"t","Manhattan","Shared room",2,1,1,1,657.770212765957,125,75.4034656056957,1,0,92,9,9,9,"0"
"149",89.3037155669443,52,"f",1,"f","Brooklyn","Entire home/apt",2,1,1,2,657.770212765957,95,95,4,10,96,10,10,9,"0"
"150",100,100,"f",12,"f","Brooklyn","Private room",2,1,1,1,657.770212765957,99,75.4034656056957,1,23,87,10,10,9,"1"
"151",100,63,"t",1,"f","Brooklyn","Entire home/apt",6,1,2,3,657.770212765957,250,95,1,6,98,10,10,9,"1"
"152",100,96,"f",5,"t","Brooklyn","Entire home/apt",2,1,1,1,657.770212765957,100,65,28,6,90,9,10,9,"1"
"153",100,96,"f",9,"t","Bronx","Private room",2,1,1,1,657.770212765957,49,75,1,1,95,9,9,9,"1"
"154",89.3037155669443,44,"f",1,"t","Brooklyn","Entire home/apt",2,1,1,1,657.770212765957,200,60,3,5,98,10,10,10,"0"
"155",100,94,"f",1,"f","Queens","Entire home/apt",2,1,1,1,657.770212765957,180,75,1,10,100,10,9,10,"0"
"156",89.3037155669443,63,"f",1,"t","Manhattan","Private room",2,1,1,1,657.770212765957,80,50,1,11,99,10,10,10,"0"
"157",100,89,"t",44,"f","Manhattan","Entire home/apt",4,1,2,2,657.770212765957,110,160,30,2,91,8,9,8,"1"
"158",89.3037155669443,81.0127222784444,"f",0,"t","Manhattan","Entire home/apt",2,1,1,1,657.770212765957,100,80,24,0,90,9,10,9,"0"
"159",80,81,"f",4,"t","Brooklyn","Private room",2,1,1,1,657.770212765957,50,30,21,11,92,10,10,10,"0"
"160",89.3037155669443,100,"t",1,"f","Brooklyn","Entire home/apt",6,1,2,3,657.770212765957,90,75,2,29,97,10,9,10,"0"
"161",89.3037155669443,81.0127222784444,"f",1,"f","Manhattan","Entire home/apt",4,1,2,2,657.770212765957,275,100,3,0,93,10,10,9,"0"
"162",89.3037155669443,100,"f",2,"f","Brooklyn","Entire home/apt",5,1,1,3,657.770212765957,150,120,6,1,98,9,10,10,"0"
"163",89.3037155669443,99,"t",3,"t","Brooklyn","Entire home/apt",5,1,2,3,657.770212765957,149,100,3,21,96,10,9,10,"1"
"164",67,25,"f",3,"t","Brooklyn","Entire home/apt",6,1,2,2,657.770212765957,199,75.4034656056957,2,5,87,9,10,9,"0"
"165",89.3037155669443,85,"f",2,"f","Manhattan","Private room",1,1,1,1,657.770212765957,78,49,4,8,94,10,9,9,"0"
"167",100,83,"t",2,"f","Queens","Private room",1,1,1,1,657.770212765957,67,49,4,6,92,10,10,9,"1"
"168",89.3037155669443,100,"t",1,"t","Brooklyn","Private room",2,1,3,1,657.770212765957,81,40,3,16,95,10,10,10,"0"
"169",83,84,"t",1,"t","Brooklyn","Entire home/apt",4,1,1,2,657.770212765957,129,80,2,21,99,10,9,10,"0"
"170",83,98,"t",2,"t","Manhattan","Entire home/apt",2,1,1,1,657.770212765957,100,80,4,31,94,10,10,9,"0"
"171",91,92,"f",8,"f","Queens","Private room",2,1.5,1,1,657.770212765957,50,75.4034656056957,1,29,91,9,9,9,"1"
"172",100,60,"f",2,"f","Manhattan","Entire home/apt",3,1,1,1,657.770212765957,135,150,30,3,93,9,10,8,"1"
"173",100,95,"f",1,"t","Brooklyn","Entire home/apt",4,1,1,1,657.770212765957,125,100,2,45,97,10,9,10,"0"
"174",89.3037155669443,81.0127222784444,"f",1,"f","Brooklyn","Private room",2,1.5,1,2,657.770212765957,1002,75.4034656056957,365,0,80,7,9,8,"0"
"175",0,50,"f",2,"f","Manhattan","Private room",1,2,1,0,657.770212765957,26,75.4034656056957,30,0,93.293492250014,9.29721864681851,9.5729318258144,9.2965015393227,"0"
"176",100,78,"t",5,"t","Brooklyn","Entire home/apt",5,1,2,4,657.770212765957,110,75.4034656056957,30,1,95,9,9,9,"0"
