"","id","host_id","host_since","host_response_rate","host_acceptance_rate","host_is_superhost","host_listings_count","host_total_listings_count","host_identity_verified","neighbourhood_group_cleansed","latitude","longitude","is_location_exact","room_type","accommodates","bathrooms","bedrooms","beds","square_feet","price","cleaning_fee","minimum_nights","number_of_reviews","number_of_reviews_ltm","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","cancellation_policy","reviews_per_month","Pre_20_reviews","Post_20_reviews","ForRent"
"85",1479113,176836,2010-07-21,NA,80,"f",1,1,"t","Manhattan",40.71501,-73.98061,"f","Private room",1,1,1,1,NA,49,59,1,91,1,88,10,9,10,10,9,9,"moderate",1.12,1,0,"f"
"86",1479349,5464042,2013-03-14,NA,NA,"f",1,1,"t","Brooklyn",40.70952,-73.95078,"t","Private room",2,1,1,1,NA,80,10,3,130,4,95,10,9,10,10,9,9,"moderate",1.62,4,0,"f"
"87",1523892,8131250,2013-08-13,33,31,"f",1,1,"f","Manhattan",40.76284,-73.99443,"t","Entire home/apt",2,1.5,1,0,620,199,75,2,67,7,95,9,9,10,10,10,9,"strict_14_with_grace_period",0.98,1,0,"f"
"88",1559435,5191738,2013-02-22,NA,100,"f",1,1,"f","Brooklyn",40.68864,-73.9213,"t","Entire home/apt",4,1,1,2,NA,75,30,2,38,4,87,9,7,10,10,9,9,"flexible",0.57,1,0,"f"
"89",1572815,4106680,2012-11-09,NA,67,"t",1,1,"t","Manhattan",40.72853,-73.98619,"t","Private room",2,1,1,1,NA,100,40,1,233,24,97,10,10,10,10,10,10,"strict_14_with_grace_period",2.88,2,0,"f"
"90",1591811,8265050,2013-08-19,80,85,"f",2,2,"t","Brooklyn",40.71188,-73.95155,"t","Entire home/apt",2,1,1,1,NA,90,95,2,226,30,93,10,10,10,9,9,9,"strict_14_with_grace_period",2.74,4,1,"f"
"91",1633313,8677042,2013-09-06,NA,33,"f",1,1,"f","Brooklyn",40.7086,-73.94715,"t","Entire home/apt",5,1.5,1,1,NA,241,150,2,2,1,80,8,6,10,8,10,8,"moderate",0.11,1,0,"f"
"92",1656585,1147345,2011-09-12,NA,73,"f",2,2,"t","Manhattan",40.72866,-74.00095,"t","Entire home/apt",2,1,1,1,NA,141,80,4,30,5,97,10,10,9,10,10,10,"moderate",0.37,1,0,"f"
"93",1668328,8265050,2013-08-19,80,85,"f",2,2,"t","Brooklyn",40.71084,-73.94861,"t","Entire home/apt",2,1,1,1,NA,80,95,7,219,22,94,9,10,10,9,10,9,"strict_14_with_grace_period",2.68,1,0,"f"
"94",1759526,104250,2010-04-06,NA,62,"t",3,3,"t","Manhattan",40.74563,-73.99325,"t","Private room",1,2,1,1,NA,90,50,5,11,5,95,9,9,10,9,10,10,"moderate",0.15,2,0,"f"
"95",1771965,9306716,2013-10-08,100,75,"f",1,1,"f","Manhattan",40.80266,-73.94728,"t","Entire home/apt",5,1.5,2,3,NA,200,100,14,82,8,93,10,9,10,10,9,9,"strict_14_with_grace_period",1.03,1,1,"f"
"96",1782667,3886532,2012-10-16,100,97,"t",3,3,"t","Brooklyn",40.70818,-73.92202,"t","Private room",1,1,1,1,NA,69,30,1,161,20,97,10,10,10,10,10,9,"strict_14_with_grace_period",2.06,1,0,"f"
"97",1856027,267955,2010-10-21,NA,100,"t",1,1,"f","Manhattan",40.72485,-73.98349,"t","Private room",2,1.5,1,1,NA,95,88,3,116,20,99,10,10,10,10,10,10,"moderate",1.48,1,0,"f"
"98",1910270,9912620,2013-11-09,100,85,"t",2,2,"t","Brooklyn",40.68396,-73.98914,"t","Entire home/apt",7,2.5,4,5,NA,450,300,5,16,2,99,10,10,10,10,10,10,"strict_14_with_grace_period",0.2,1,0,"f"
"99",1913864,9745149,2013-10-31,100,80,"f",2,2,"t","Brooklyn",40.67138,-73.96058,"t","Private room",1,1,1,1,NA,35,NA,15,10,3,100,9,9,10,10,10,10,"strict_14_with_grace_period",0.17,1,0,"f"
"100",1914630,342599,2011-01-10,NA,100,"f",1,1,"t","Brooklyn",40.69309,-73.95921,"t","Entire home/apt",4,1,1,2,NA,120,25,3,17,2,99,10,10,10,10,9,10,"moderate",0.22,2,0,"f"
"101",1928556,4482351,2012-12-24,NA,97,"f",3,3,"t","Manhattan",40.76143,-73.99223,"t","Entire home/apt",2,1,1,2,NA,115,100,4,26,9,98,10,9,10,10,10,10,"strict_14_with_grace_period",0.33,1,0,"f"
"102",1934512,2317686,2012-05-07,NA,64,"f",1,1,"t","Brooklyn",40.6912,-73.96686,"t","Entire home/apt",2,1,0,1,NA,150,150,7,40,3,89,9,10,9,9,10,9,"moderate",0.55,1,0,"f"
"103",1945115,10061009,2013-11-16,100,100,"t",4,4,"f","Manhattan",40.80419,-73.95582,"t","Private room",1,1,1,1,NA,90,45,4,80,24,97,10,10,10,10,10,10,"moderate",2.46,4,1,"f"
"104",1954653,10103520,2013-11-18,NA,100,"t",1,1,"f","Manhattan",40.74423,-73.97614,"t","Entire home/apt",2,1.5,1,1,NA,195,120,3,37,7,97,10,10,10,10,10,10,"moderate",0.47,1,0,"f"
"105",1981590,10225447,2013-11-24,NA,100,"t",1,1,"f","Brooklyn",40.69937,-73.91463,"t","Entire home/apt",4,1,0,1,NA,135,100,3,177,13,92,10,10,10,10,9,10,"strict_14_with_grace_period",2.26,2,0,"f"
"106",2033846,667627,2011-06-05,100,98,"f",1,1,"t","Manhattan",40.81728,-73.94583,"t","Entire home/apt",2,1,0,0,NA,95,60,5,92,20,91,10,9,10,10,10,9,"strict_14_with_grace_period",1.2,4,1,"f"
"107",2037632,1415489,2011-11-17,NA,46,"f",1,1,"t","Manhattan",40.72782,-73.98095,"t","Entire home/apt",2,1,1,1,NA,140,50,4,31,7,96,10,9,10,10,10,9,"strict_14_with_grace_period",0.39,2,0,"f"
"108",2044873,3886532,2012-10-16,100,97,"t",3,3,"t","Brooklyn",40.70781,-73.92184,"t","Private room",2,1,1,1,NA,79,30,1,117,28,97,10,10,10,10,10,10,"strict_14_with_grace_period",1.55,6,0,"f"
"109",2051013,10511044,2013-12-08,NA,100,"f",1,1,"f","Queens",40.76583,-73.91925,"t","Entire home/apt",2,1,1,1,NA,78,100,4,25,3,98,10,9,10,10,10,10,"flexible",0.41,2,0,"f"
